"","BRP","ABR","ATBS","ARBS","AHBS","CO2","YBR"
"1972",1738,866.4,23.92315288,5820,72.93035753,3505921,2.00600184672207
"1973",2071,1002.6,24.11326642,15884,75.32563402,4549694,2.0656293636545
"1974",2220,1222.7,23.57743826,11255,73.69995559,4653084,1.8156538807557
"1975",2250,1161.2,23.76083567,9034,72.74662186,4856723,1.93765070616604
"1976",2286,1147.9,24.23999366,9238,72.9692606,5555798,1.99146267096437
"1977",1650,854.2,23.78631514,19696,75.23099865,5784754,1.93163193631468
"1978",2239,1093.7,23.72438654,14793,70.71576363,5984423,2.04717929962513
"1979",1929,1071.8,24.57601229,5941,70.09251611,6612648,1.79977607762642
"1980",2427,1148.4,24.19886605,14534,71.4187798,7597219,2.11337513061651
"1981",2630,1160,23.2944184,23213,73.36560434,7886136,2.26724137931034
"1982",3152,1301.7,23.70878017,11587,70.82943346,8552288,2.42144887454867
"1983",3548,1432.8,23.53967662,22417,73.08940437,8188282,2.47627024008934
"1984",3350,1401.2,23.63131968,15854,72.14145067,9077160,2.39080787896089
"1985",3909,1574.4,24.14732522,15885,73.80517196,10189161,2.4828506097561
"1986",3671,1533.2,24.11175685,13942,73.20998976,11405807,2.39433863814245
"1987",4010,1651.7,24.3437309,13882,74.77047329,11799727,2.42780165889689
"1988",4731,1942.6,24.4498114,22389,76.06982088,13478441,2.43539586121693
"1989",5831,2438.3,23.80341059,10376,73.13871001,13382363,2.39142025181479
"1990",6033,2453.6,23.84671699,23586,78.65468909,14081596,2.45883599608738
"1991",6357,2547.9,23.84548014,19840,76.42981208,14741983,2.49499587895914
"1992",6807,2634.9,23.78411872,10556,76.44170086,15379904,2.58339974951611
"1993",6586,2598.9,23.62562661,23609,76.64053492,16062897,2.53414906306514
"1994",6772.2,2580.8,23.97683766,17501,75.97101242,17538016,2.62407005579665
"1995",6538.7,2663.54,24.20530121,17353,75.2566344,21041714,2.4548908595328
"1996",7220.6,2753.57,24.35865426,14349,76.35046054,21492816,2.62226854592402
"1997",7460,2782.59,23.45101865,15117,77.16746602,23125868,2.68095551266985
"1998",8137.3,2888.56,23.94255762,24046,78.21666312,23197800,2.81707840584928
"1999",10551.9,3526.67,24.88347311,14510,75.80692794,25074988,2.99202930810084
"2000",11027,3651.89,23.80669029,25230,77.15555409,26524610,3.01953235174115
"2001",11920.5,3761.84,24.11463351,18013,76.08535597,31034908,3.1687950577377
"2002",11766,3771.34,24.13179825,22456,77.10476064,31981244,3.11984599638325
"2003",12222.2,3844.84,23.80889403,14349,77.57368251,33459294,3.17885789785791
"2004",12837.1,3943.5,24.19438053,12400,77.15629164,35945412,3.25525548370737
"2005",13837.1,4063.79,24.43667374,14742,77.14772135,37676584,3.40497417435448
"2006",13975.3,4065.81,24.69320138,17662,76.50430656,41689170,3.4372732616625
"2007",14965,4250.1,23.93326015,16827,76.87202139,42642130,3.52109362132656
"2008",17762,4607.85,24.15137284,11921,77.42191006,45300870,3.85472617381208
"2009",17809,4716.31,24.62551115,13557,75.89725822,49148070,3.77604525571898
"2010",18059,4706.6,24.70250271,15227,76.13519891,53991556,3.83695236476437
"2011",18616,4770,23.75165946,14202,76.4603567,56556344,3.90272536687631
